apartado,tipo,bien,bien_limpio,cluster,item,cluster_6947,cluster_2275,cluster_1015,cluster_684,cluster_405,cluster_236,cluster_137,cluster_85,cluster_50,cluster_29,cluster_21,cluster_16,cluster_15,cluster_12,cluster_8,cluster_7,cluster_5,cluster_4,cluster_3,cluster_2,cluster_1
Equipo,Equipo,COMPUTADORA DE ESCRITORIO Y MONITOR S/N V900VDAE,computadora escritorio monitor sn vvdae,1,computadora,536,2147,439,66,56,22,46,13,13,27,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"COMPUTADORA RAM 8 GB, MONITOR CON N/S CN-04FF47-64180-51P-27JB COLOR NEGRO.",computadora ram gb monitor n cnffpjb color negro,1,computadora,2816,458,495,46,119,2,52,31,10,12,1,4,4,4,2,2,2,2,2,0,0
Libro,Libro,ISBN 9788420011318 Factura 44957 RGS Libros,isbn factura rg libros,0,isbn,368,1477,582,582,84,6,28,28,11,9,9,9,9,9,4,4,4,1,0,0,0
Equipo,Equipo,ARRANCADOR MAGNETICO TPLENA,arrancador magnetico tplena,0,arrancador,1318,1318,29,84,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,ESTACION DE EMERGENCIA CON REGADERA Y LAVAOJOS DE ACERO INOXIDABLE,estacion emergencia regadera lavaojos acero inoxidable,0,estacion,3192,1013,233,467,233,233,116,57,28,28,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,MESA DE TRABAJO CON SISTEMA DE AIRE LISA DE 1.80 X 90 DE ALTURA SIN TARJA CON ESTRUCTURA DE 1 1/4 PU,mesa trabajo sistema aire lisa x altura tarja estructura pu,0,mesa,3391,1365,146,590,97,97,0,15,9,4,4,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,APPLE IMAC 27 RETINA 3.5/2X4GB/1,apple imac retina xgb,0,apple,1525,1286,112,28,118,100,50,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"FRIGO BAR 5 PIES CÚBICOS, BLANCO.",frigo bar pie cúbicos blanco,0,frigo,259,1092,837,418,17,145,19,7,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,EQUIPO DE AIRE ACONDICIONADO 2 TR. A 220/1/60 VOLTS.,equipo aire acondicionado tr volt,0,equipo,352,481,485,107,65,14,29,60,29,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"CASA DE CAMPANAÑA 2XT,FACTURA:0023, FECHA DE FACTURA: 8/06/12, PROVEEDOR: PRODUCTOS ECOLOGICOS Y DEP",casa campanaña xtfactura fecha factura proveedor productos ecologicos dep,0,casa,605,897,490,490,11,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Libro,Libro,"La obra consta de tres volúmenes. ISBN Vol. I 9685078696, ISBN Vol. II 9685078718, ISBN Vol. III 968",obra consta tres volúmenes isbn vol i isbn vol ii isbn vol iii,0,obra,1670,543,543,543,271,21,5,2,4,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"Archivero metálico de 4 gavetas, color arena",archivero metálico gavetas color arena,4,archivero,3114,1645,644,644,96,7,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,COOLER,cooler,0,cooler,1318,1318,29,84,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"COMPUTADORA DE ESCRITORIO, CI3-4150T 8GB 1TB WIN8.1 20 TOUNCH DVD-RW 1WTY",computadora escritorio cit gb tb win tounch dvdrw wty,1,computadora,1235,688,46,46,119,2,52,31,10,12,1,4,4,4,2,2,2,2,2,0,0
Equipo,Equipo,BALANZA DE PRECISION MODELO NEWTON CAPACIDAD,balanza precision modelo newton capacidad,0,balanza,1684,317,127,256,42,86,86,9,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,DESPACHADOR DE AGUA GE. COLOR GRIS CON ALACENA EN LA PARTE INFERIOR.,despachador agua ge color gris alacena parte inferior,4,despachador,4606,1317,337,676,337,99,49,24,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,CONVERTIDOR MED GIGABIT 1000BASE TX FX MM/SM/LC,convertidor med gigabit base tx fx mmsmlc,0,convertidor,1556,582,844,421,12,108,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Libro,Libro,ISBN 9788428214865 Factura 45105 RGS Libros,isbn factura rg libros,0,isbn,368,1477,582,582,84,6,28,28,11,9,9,9,9,9,4,4,4,1,0,0,0
Equipo,Equipo,CENTRIFUGA ESCOLAR DE 12 TUBOS DE 20 ML,centrifuga escolar tubos ml,0,centrifuga,4383,1378,252,506,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"MAQUINA RECTA, DE POSTE, MARCA HIGHLEAD, MODELO GC24018, CON ESTANTE, TABLÓN Y MOTOR.",maquina rectum poste marca highlead modelo gc estante tablón motor,0,maquina,1718,1408,400,79,52,13,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,IMPRESORA HP LASER JET PRO 1102W. COLOR NEGRO,impresora hp laser jet pro w color negro,4,impresora,556,224,510,510,33,137,68,68,2,3,3,3,3,3,3,0,0,0,0,0,0
Libro,Libro,ISBN 8429140867 Vol. 5 Factura 2410 Somohano Express,isbn vol factura somohano express,0,isbn,1346,543,543,543,271,21,5,2,4,0,2,0,1,0,1,0,0,0,0,0,0
Libro,Libro,ISBN 8429140891 Vol. 8 Factura 2410 Somohano Express,isbn vol factura somohano express,0,isbn,1346,543,543,543,271,21,5,2,4,0,2,0,1,0,1,0,0,0,0,0,0
Libro,Libro,ISBN 9783805582698 Factura A 31 Cuellar,isbn factura cuellar,0,isbn,1064,2129,582,582,84,6,28,28,11,9,9,9,9,9,4,4,4,1,0,0,0
Equipo,Equipo,1 PZA. IMPRESORA H.P. LASERJET PRO 400,pza impresora hp laserjet pro,0,pza,2811,1817,772,105,212,212,132,21,21,3,3,3,3,3,3,0,0,0,0,0,0
Mobiliario,Mobiliario,"Gabinete en acero negro cal 20. factura 352, recurso PROINPEP 2015",gabinete acero negro cal factura recurso proinpep,0,gabinete,3588,704,704,13,210,210,104,0,22,5,12,12,12,0,1,0,0,0,0,0,0
Equipo,Equipo,DE TORRE NEGRO INCLUYE CONTROL,torre negro incluye control,0,torre,1367,1736,692,358,358,178,53,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,MUEBLE ESPECIAL TIPO ALACENA DE 2.00 MTS X .50 MTS X 90MTS EN MELAMINA CON ESPACIOS PARA CAFETERA Y,mueble especial tipo alacena mt x mt x mt melamina espacios cafetera,0,mueble,3032,1030,188,378,378,188,56,27,9,4,4,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"Pizarron a base cristal templado de 6 mm de grosor, esmerilado, de 1.80x1.20 mts.",pizarron base cristal templado mm grosor esmerilado x mt,0,pizarron,2494,179,177,356,63,31,64,64,15,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,COMPUTADORA MARCA LANIX MODELO HX 4310 CON MONITOR LANIX DE 18.5 LCD MODELO LX185 SERIE LXM50601241,computadora marca lanix modelo hx monitor lanix lcd modelo lx serie lxm,0,computadora,1399,1945,972,100,202,95,8,35,17,17,17,1,0,1,1,0,0,0,0,0,0
Equipo,Equipo,PIZARRÓN COLOR BLANCO  DE 120 x 90 CMS.,pizarrón color blanco x cm,3,pizarrón,2433,1423,499,499,249,124,124,11,24,11,6,6,6,6,6,6,1,0,0,0,0
Equipo,Equipo,LAPTOP ASUS X550ZA MS51 10121A,laptop asus xza m,0,laptop,2492,1629,348,20,22,15,6,5,5,0,2,0,1,0,1,0,0,0,0,0,0
